Unique ID,Type of the Furniture,Name,Description,Material,Color,Warranty Period (in years),Price (in US dollars),Dimensions in cm (LxWxH),Country of Creation,Features,Quantity
v9nhFU,Bed,Snug Bed,A compact metal bed double.,Metal,Charcoal Gray,10,168,102x33x58,USA,"single, without storage",26
OfRP9g,Table,Elegant Table,A comfortable metal table circular.,Metal,Ivory White,10,443,161x101x193,Italy,"circular, extendable",24
7PUNxU,Bed,Relax Bed,A compact glass bed double.,Glass,Natural Oak,3,732,171x146x163,Sweden,"single, without storage",55
3NoVxg,Sofa,Lush Sofa,A comfortable wood sofa 3.,Wood,Walnut Brown,5,523,143x114x154,Poland,"3 seats, without recliner",71
m1TLuK,Wardrobe,Chic Wardrobe,A modern fabric wardrobe 2.,Fabric,Walnut Brown,1,166,98x118x115,Poland,"2 sections, without mirror",38
KOAx1D,Table,Sturdy Table,A compact wood table rectangular.,Wood,Silver,5,100,297x47x74,Germany,"rectangular, extendable",23
dnb9Bi,Sofa,Lush Sofa,A comfortable metal sofa without recliner.,Metal,Silver,10,424,257x70x171,Sweden,"2 seats, without recliner",93
9wXwnT,Bed,Snug Bed,A compact metal bed double.,Metal,Walnut Brown,10,580,204x148x109,China,"single, with storage",81
BxMyF6,Bed,Cozy Bed,A comfortable fabric bed single.,Fabric,Walnut Brown,1,359,101x36x183,China,"queen, with storage",64
5m5xqz,Bed,Dreamy Bed,An elegant wood bed king.,Wood,Ivory White,5,250,210x101x70,China,"single, without storage",97
9x7K5t,Sofa,Snug Sofa,A modern wood sofa without recliner.,Wood,Silver,5,403,152x105x101,Italy,"1 seats, without recliner",60
W7KZku,Bed,Dreamy Bed,A compact fabric bed with storage.,Fabric,Silver,1,199,188x124x163,Poland,"double, with storage",29
ULq8I8,Sofa,Cozy Sofa,A luxurious metal sofa with recliner.,Metal,Beige,10,238,159x48x168,Poland,"2 seats, without recliner",72
tRJ82f,Bed,Snug Bed,An elegant glass bed double.,Glass,Charcoal Gray,3,308,122x136x97,China,"single, with storage",15
w9CXib,Chair,Zippy Chair,A comfortable fabric chair without armrests.,Fabric,Jet Black,1,335,163x120x93,China,without armrests,31
twLTAA,Table,Elegant Table,A modern wood table not extendable.,Wood,Walnut Brown,5,276,112x113x159,Italy,"circular, extendable",33
UHUK3L,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Beige,5,183,158x61x171,China,"1 sections, without mirror",43
aZe8B0,Sofa,Lush Sofa,A sturdy fabric sofa without recliner.,Fabric,Walnut Brown,1,100,201x84x84,China,"2 seats, without recliner",60
R0TMe6,Bed,Lush Bed,A modern wood bed without storage.,Wood,Jet Black,5,201,66x102x94,USA,"king, with storage",77
JsbPXi,Wardrobe,Chic Wardrobe,A modern fabric wardrobe 2.,Fabric,Silver,1,207,167x61x45,Sweden,"2 sections, with mirror",16
6wjVUB,Sofa,Relax Sofa,An ergonomic metal sofa 2.,Metal,Silver,10,214,165x101x117,Sweden,"1 seats, with recliner",33
gYL3s2,Wardrobe,Sturdy Wardrobe,An ergonomic wood wardrobe without mirror.,Wood,Silver,5,378,88x48x174,China,"2 sections, with mirror",31
BmtyH3,Wardrobe,Compact Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Jet Black,1,187,104x84x179,USA,"2 sections, with mirror",56
WJebV4,Sofa,Lush Sofa,A comfortable metal sofa without recliner.,Metal,Charcoal Gray,10,244,109x148x47,Germany,"1 seats, without recliner",66
lISiPH,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Silver,5,275,250x46x142,China,"1 sections, without mirror",64
nPhvkm,Wardrobe,Sturdy Wardrobe,An ergonomic plastic wardrobe without mirror.,Plastic,Ivory White,2,138,245x68x191,Italy,"1 sections, with mirror",38
6e2r1j,Table,Buddy Table,A comfortable fabric table not extendable.,Fabric,Natural Oak,1,211,240x100x64,Italy,"rectangular, extendable",76
PbVrVX,Bed,Relax Bed,A compact wood bed queen.,Wood,Charcoal Gray,5,295,73x150x113,USA,"double, with storage",94
jOL08X,Sofa,Snug Sofa,A luxurious glass sofa without recliner.,Glass,Charcoal Gray,3,315,140x117x194,Sweden,"3 seats, without recliner",53
Ic4KfR,Chair,Zippy Chair,A modern glass chair without armrests.,Glass,Jet Black,3,534,140x56x172,Poland,without armrests,31
oth3Z9,Table,Elegant Table,A modern wood table not extendable.,Wood,Charcoal Gray,5,505,89x35x95,China,"rectangular, extendable",80
FYj4Q6,Table,Elegant Table,An elegant fabric table rectangular.,Fabric,Jet Black,1,88,273x129x99,USA,"circular, extendable",32
k2OO59,Wardrobe,Sturdy Wardrobe,An ergonomic metal wardrobe 1.,Metal,Silver,10,235,254x71x40,Poland,"2 sections, with mirror",44
pLUbZC,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Charcoal Gray,10,383,69x145x81,USA,with armrests,64
Ah6vUg,Chair,Zippy Chair,A modern plastic chair without armrests.,Plastic,Walnut Brown,2,96,131x74x51,USA,with armrests,90
SJdil0,Chair,Chic Chair,A luxurious metal chair with armrests.,Metal,Silver,10,344,100x129x94,Sweden,without armrests,21
b49xZV,Table,Buddy Table,An elegant plastic table extendable.,Plastic,Natural Oak,2,115,221x134x42,Germany,"circular, extendable",77
bJ4qlH,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Natural Oak,10,696,201x88x195,USA,without armrests,61
ejgwP3,Bed,Dreamy Bed,A comfortable glass bed without storage.,Glass,Beige,3,600,62x144x59,USA,"queen, without storage",81
Wdhfsz,Chair,Buddy Chair,A sturdy glass chair without armrests.,Glass,Natural Oak,3,481,159x96x62,Sweden,with armrests,9
WMcXvI,Chair,Cosy Chair,A sturdy glass chair with armrests.,Glass,Natural Oak,3,233,119x120x123,Italy,without armrests,90
2RwWmr,Bed,Relax Bed,A compact wood bed queen.,Wood,Beige,5,267,83x33x179,Germany,"king, without storage",85
BKq06S,Bed,Lush Bed,An ergonomic metal bed double.,Metal,Walnut Brown,10,539,65x65x145,Italy,"double, with storage",73
LV0Voo,Wardrobe,Compact Wardrobe,A comfortable plastic wardrobe 2.,Plastic,Ivory White,2,44,292x66x85,USA,"2 sections, with mirror",85
blBtmD,Wardrobe,Zippy Wardrobe,A luxurious glass wardrobe 1.,Glass,Ivory White,3,286,160x39x98,Italy,"1 sections, with mirror",7
uNCoOW,Bed,Cozy Bed,A comfortable fabric bed single.,Fabric,Charcoal Gray,1,269,282x122x61,Sweden,"double, without storage",63
Rj6gvO,Wardrobe,Zippy Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Charcoal Gray,1,237,283x74x174,Sweden,"1 sections, with mirror",38
W6LoVw,Chair,Cosy Chair,A sturdy glass chair with armrests.,Glass,Natural Oak,3,755,126x61x195,Germany,without armrests,31
3D72wR,Wardrobe,Zippy Wardrobe,A luxurious glass wardrobe 1.,Glass,Charcoal Gray,3,810,164x67x57,Italy,"1 sections, with mirror",2
iTZJA9,Sofa,Snug Sofa,A luxurious glass sofa without recliner.,Glass,Natural Oak,3,422,80x106x47,Sweden,"3 seats, with recliner",17
a8BFsJ,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Beige,5,506,202x140x105,Italy,with armrests,52
JXzyri,Chair,Snug Chair,A compact glass chair with armrests.,Glass,Silver,3,572,76x56x59,Italy,without armrests,59
FPHqnq,Table,Sturdy Table,A sturdy glass table extendable.,Glass,Charcoal Gray,3,796,120x134x112,USA,"rectangular, extendable",74
ZRGCEY,Table,Cosy Table,A comfortable plastic table rectangular.,Plastic,Jet Black,2,91,145x42x189,Sweden,"rectangular, extendable",3
F7rOy3,Chair,Zippy Chair,A luxurious wood chair without armrests.,Wood,Charcoal Gray,5,102,198x35x151,Italy,without armrests,100
iEZD3a,Sofa,Snug Sofa,A sturdy metal sofa 1.,Metal,Beige,10,119,141x108x106,Italy,"3 seats, with recliner",55
vaTOaJ,Sofa,Lush Sofa,A compact plastic sofa without recliner.,Plastic,Beige,2,146,82x124x136,China,"2 seats, without recliner",19
Q0Rfj3,Chair,Zippy Chair,A modern plastic chair without armrests.,Plastic,Ivory White,2,136,54x96x193,Poland,with armrests,25
v3DzvX,Chair,Zippy Chair,A luxurious wood chair without armrests.,Wood,Charcoal Gray,5,360,80x74x140,USA,with armrests,26
h16VOW,Table,Buddy Table,A comfortable fabric table not extendable.,Fabric,Beige,1,371,232x71x68,Sweden,"rectangular, extendable",95
AfRCes,Chair,Cosy Chair,An ergonomic fabric chair with armrests.,Fabric,Silver,1,403,272x105x159,Germany,without armrests,13
P1gGT8,Sofa,Cozy Sofa,A comfortable fabric sofa without recliner.,Fabric,Jet Black,1,219,272x132x115,Poland,"3 seats, with recliner",35
UVHbwg,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Charcoal Gray,5,268,58x68x185,Italy,with armrests,33
l7P4e5,Wardrobe,Zippy Wardrobe,A modern plastic wardrobe with mirror.,Plastic,Walnut Brown,2,112,250x36x48,Germany,"1 sections, without mirror",53
sotWyO,Table,Elegant Table,An ergonomic glass table extendable.,Glass,Ivory White,3,188,146x101x135,Germany,"circular, not extendable",88
CA5O7N,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Beige,10,269,174x121x87,Sweden,without armrests,16
oMTqhl,Wardrobe,Sturdy Wardrobe,A sturdy glass wardrobe without mirror.,Glass,Walnut Brown,3,257,173x54x187,Germany,"1 sections, without mirror",35
86VeWG,Wardrobe,Compact Wardrobe,A comfortable plastic wardrobe 2.,Plastic,Silver,2,118,104x147x96,Poland,"2 sections, without mirror",4
VnfTI3,Sofa,Relax Sofa,A luxurious plastic sofa without recliner.,Plastic,Ivory White,2,153,50x68x105,Italy,"3 seats, with recliner",86
nfVGzt,Table,Sturdy Table,An elegant plastic table not extendable.,Plastic,Silver,2,52,163x72x100,China,"rectangular, not extendable",73
8S94Cx,Sofa,Lush Sofa,A sturdy glass sofa with recliner.,Glass,Jet Black,3,212,104x49x164,USA,"1 seats, with recliner",88
A8QxWR,Wardrobe,Chic Wardrobe,A modern fabric wardrobe 2.,Fabric,Jet Black,1,218,186x79x189,Sweden,"2 sections, with mirror",63
e0RaJi,Table,Sturdy Table,An ergonomic metal table not extendable.,Metal,Ivory White,10,413,117x57x185,Poland,"circular, not extendable",28
XeleFP,Wardrobe,Zippy Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Walnut Brown,1,256,111x90x197,Germany,"1 sections, without mirror",25
1vKhkY,Chair,Chic Chair,A sturdy wood chair with armrests.,Wood,Beige,5,394,181x56x61,Italy,with armrests,99
zw4dR6,Wardrobe,Smart Wardrobe,An ergonomic fabric wardrobe without mirror.,Fabric,Silver,1,334,139x64x115,Poland,"2 sections, without mirror",42
e53GjI,Chair,Cosy Chair,An elegant wood chair without armrests.,Wood,Ivory White,5,192,258x73x93,USA,with armrests,67
Hx39vt,Bed,Lush Bed,A modern wood bed without storage.,Wood,Charcoal Gray,5,440,61x95x147,Germany,"queen, with storage",90
pSInRj,Wardrobe,Chic Wardrobe,An elegant wood wardrobe without mirror.,Wood,Natural Oak,5,321,166x40x196,China,"2 sections, without mirror",29
ifTIM3,Table,Elegant Table,An elegant fabric table rectangular.,Fabric,Jet Black,1,206,219x134x111,USA,"rectangular, not extendable",50
mPllfq,Table,Chic Table,A modern glass table rectangular.,Glass,Silver,3,777,231x114x98,USA,"rectangular, extendable",82
22ofm9,Wardrobe,Chic Wardrobe,An elegant wood wardrobe without mirror.,Wood,Walnut Brown,5,414,134x125x122,Germany,"1 sections, without mirror",96
Dkztso,Bed,Snug Bed,A sturdy fabric bed double.,Fabric,Natural Oak,1,78,275x129x162,USA,"queen, without storage",71
WKmg7w,Bed,Lush Bed,A compact plastic bed double.,Plastic,Beige,2,159,273x44x130,USA,"king, without storage",50
WQjLvc,Table,Elegant Table,An elegant fabric table rectangular.,Fabric,Beige,1,275,180x34x158,USA,"circular, not extendable",60
xw3Ujz,Bed,Relax Bed,A comfortable metal bed without storage.,Metal,Beige,10,299,80x46x43,USA,"single, without storage",99
TEwxry,Table,Sturdy Table,An elegant plastic table not extendable.,Plastic,Natural Oak,2,105,158x99x182,Poland,"circular, not extendable",41
5JmIhO,Sofa,Comfy Sofa,A sturdy glass sofa 1.,Glass,Silver,3,785,299x101x83,Poland,"1 seats, with recliner",12
VUBI8j,Wardrobe,Compact Wardrobe,A comfortable wood wardrobe without mirror.,Wood,Charcoal Gray,5,85,57x59x134,USA,"1 sections, without mirror",67
rcGRem,Chair,Snug Chair,A luxurious fabric chair with armrests.,Fabric,Walnut Brown,1,296,128x66x171,China,without armrests,89
8zmD2n,Chair,Chic Chair,A comfortable plastic chair without armrests.,Plastic,Ivory White,2,50,278x96x81,Poland,with armrests,98
oRuZdK,Sofa,Lush Sofa,A sturdy glass sofa with recliner.,Glass,Beige,3,532,128x143x105,Germany,"2 seats, with recliner",19
OoGQ6i,Sofa,Cozy Sofa,A luxurious glass sofa with recliner.,Glass,Natural Oak,3,184,173x103x71,China,"2 seats, without recliner",68
spQS7g,Bed,Relax Bed,A modern plastic bed king.,Plastic,Silver,2,73,194x143x115,USA,"single, without storage",52
FEgjVK,Sofa,Relax Sofa,An ergonomic metal sofa 2.,Metal,Ivory White,10,323,115x115x105,China,"1 seats, without recliner",68
rTqG7z,Chair,Cosy Chair,An elegant wood chair without armrests.,Wood,Beige,5,110,162x98x159,Poland,without armrests,81
znrv1r,Wardrobe,Sturdy Wardrobe,A sturdy fabric wardrobe with mirror.,Fabric,Beige,1,312,66x138x118,China,"1 sections, without mirror",65
gL4rOR,Chair,Chic Chair,A comfortable glass chair without armrests.,Glass,Beige,3,719,148x87x155,Sweden,with armrests,82
XsP3tA,Sofa,Lush Sofa,A sturdy fabric sofa without recliner.,Fabric,Ivory White,1,369,232x115x69,USA,"3 seats, without recliner",44
BnLG7p,Bed,Relax Bed,A compact wood bed queen.,Wood,Charcoal Gray,5,62,242x58x193,Germany,"king, with storage",15
qIdAUw,Wardrobe,Compact Wardrobe,A comfortable glass wardrobe 1.,Glass,Ivory White,3,701,207x116x170,USA,"2 sections, without mirror",31
wwhbez,Sofa,Comfy Sofa,An ergonomic wood sofa 3.,Wood,Charcoal Gray,5,271,67x143x138,USA,"3 seats, without recliner",31
oEsd71,Sofa,Lush Sofa,A sturdy fabric sofa without recliner.,Fabric,Jet Black,1,216,84x72x188,Germany,"2 seats, with recliner",36
J0SVlM,Sofa,Snug Sofa,A modern wood sofa without recliner.,Wood,Walnut Brown,5,174,117x118x152,USA,"2 seats, with recliner",7
MELKoa,Bed,Cozy Bed,A luxurious wood bed double.,Wood,Charcoal Gray,5,343,83x93x49,Germany,"king, with storage",27
O9vtmb,Wardrobe,Compact Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Jet Black,1,102,91x125x106,Poland,"2 sections, with mirror",22
Jjmxi7,Table,Chic Table,A sturdy plastic table rectangular.,Plastic,Natural Oak,2,197,220x102x73,Italy,"rectangular, extendable",97
Uc3d4r,Wardrobe,Sturdy Wardrobe,An ergonomic wood wardrobe without mirror.,Wood,Walnut Brown,5,186,157x103x190,Sweden,"2 sections, with mirror",60
yOnh9H,Wardrobe,Zippy Wardrobe,A luxurious glass wardrobe 1.,Glass,Natural Oak,3,126,239x122x133,Germany,"2 sections, without mirror",84
sMhuj5,Sofa,Lush Sofa,A comfortable metal sofa without recliner.,Metal,Ivory White,10,750,237x55x189,Sweden,"1 seats, with recliner",49
9Co1Q9,Bed,Snug Bed,An elegant wood bed king.,Wood,Beige,5,68,283x116x154,Sweden,"single, with storage",26
zhQYa2,Chair,Chic Chair,A luxurious metal chair with armrests.,Metal,Natural Oak,10,243,59x84x165,China,without armrests,27
rkyrRR,Wardrobe,Zippy Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Charcoal Gray,1,302,169x135x88,USA,"2 sections, without mirror",18
N4Y8Pr,Sofa,Lush Sofa,A comfortable metal sofa without recliner.,Metal,Walnut Brown,10,285,207x86x142,Sweden,"1 seats, with recliner",92
57k7dy,Wardrobe,Sturdy Wardrobe,A sturdy glass wardrobe without mirror.,Glass,Charcoal Gray,3,538,95x122x62,Poland,"1 sections, with mirror",12
Jsryxe,Sofa,Comfy Sofa,A compact plastic sofa without recliner.,Plastic,Ivory White,2,133,279x38x192,China,"3 seats, with recliner",45
uk94Pr,Sofa,Relax Sofa,An ergonomic metal sofa 2.,Metal,Silver,10,664,116x76x90,Italy,"2 seats, without recliner",5
jCzHxE,Wardrobe,Zippy Wardrobe,An elegant wood wardrobe with mirror.,Wood,Beige,5,450,86x39x138,Germany,"2 sections, without mirror",93
BQB1JC,Wardrobe,Compact Wardrobe,A comfortable plastic wardrobe 2.,Plastic,Jet Black,2,167,193x119x147,China,"1 sections, without mirror",68
A8zwTD,Bed,Relax Bed,A modern plastic bed king.,Plastic,Jet Black,2,110,279x111x198,Sweden,"single, with storage",88
bafs9e,Wardrobe,Smart Wardrobe,A luxurious glass wardrobe 1.,Glass,Ivory White,3,926,219x75x90,USA,"2 sections, with mirror",94
S2akNc,Bed,Snug Bed,A compact metal bed double.,Metal,Beige,10,410,283x122x140,Italy,"king, without storage",56
tCZ911,Bed,Relax Bed,A modern plastic bed king.,Plastic,Walnut Brown,2,53,204x112x47,USA,"queen, with storage",82
xmnZsc,Table,Chic Table,A sturdy metal table extendable.,Metal,Silver,10,509,127x46x73,Sweden,"circular, not extendable",25
C13TKY,Bed,Lush Bed,A compact plastic bed double.,Plastic,Silver,2,179,82x50x63,Sweden,"double, without storage",46
fNDon0,Table,Sturdy Table,An elegant plastic table not extendable.,Plastic,Jet Black,2,190,227x82x147,USA,"rectangular, extendable",39
qPAIpY,Chair,Snug Chair,A compact glass chair with armrests.,Glass,Beige,3,337,246x62x107,USA,without armrests,68
BmjWTg,Wardrobe,Sturdy Wardrobe,An ergonomic wood wardrobe without mirror.,Wood,Jet Black,5,240,276x73x191,USA,"2 sections, without mirror",44
3NpFLf,Wardrobe,Smart Wardrobe,An ergonomic fabric wardrobe without mirror.,Fabric,Ivory White,1,117,175x86x40,Poland,"2 sections, without mirror",80
w9jk1v,Sofa,Relax Sofa,An ergonomic glass sofa 2.,Glass,Natural Oak,3,490,188x58x95,China,"3 seats, with recliner",73
Am2Sxq,Chair,Zippy Chair,A modern glass chair without armrests.,Glass,Ivory White,3,238,195x142x124,China,with armrests,84
zRyXuq,Chair,Snug Chair,A compact plastic chair with armrests.,Plastic,Charcoal Gray,2,61,92x96x67,USA,without armrests,53
fUQXaf,Table,Cosy Table,An ergonomic wood table circular.,Wood,Jet Black,5,432,142x106x76,Sweden,"rectangular, not extendable",48
dsWdEv,Chair,Chic Chair,A sturdy wood chair with armrests.,Wood,Jet Black,5,392,130x124x74,USA,without armrests,96
QXUKUE,Table,Buddy Table,A compact glass table circular.,Glass,Silver,3,236,267x134x99,Italy,"rectangular, extendable",90
rgPDiC,Bed,Cozy Bed,A luxurious wood bed double.,Wood,Walnut Brown,5,71,100x148x120,Italy,"single, without storage",15
nbUOfW,Table,Sturdy Table,A sturdy glass table extendable.,Glass,Beige,3,676,218x107x171,Germany,"rectangular, not extendable",69
lL7y5w,Table,Cosy Table,A sturdy glass table extendable.,Glass,Walnut Brown,3,515,279x66x195,USA,"circular, extendable",66
BOgJGe,Wardrobe,Smart Wardrobe,An ergonomic fabric wardrobe without mirror.,Fabric,Ivory White,1,179,178x60x46,USA,"1 sections, without mirror",22
IJY1AG,Sofa,Cozy Sofa,A luxurious metal sofa with recliner.,Metal,Jet Black,10,217,299x77x185,USA,"2 seats, without recliner",50
LQ9Ftk,Sofa,Comfy Sofa,A compact plastic sofa without recliner.,Plastic,Ivory White,2,154,213x86x86,Sweden,"3 seats, with recliner",89
7gtVGq,Sofa,Comfy Sofa,A sturdy metal sofa without recliner.,Metal,Ivory White,10,127,166x113x149,Italy,"2 seats, with recliner",54
KhZA6Q,Chair,Snug Chair,A compact glass chair with armrests.,Glass,Charcoal Gray,3,244,112x36x185,Sweden,without armrests,6
KIDnPc,Wardrobe,Compact Wardrobe,A comfortable wood wardrobe without mirror.,Wood,Walnut Brown,5,174,90x31x192,Italy,"2 sections, without mirror",5
z8dONX,Wardrobe,Zippy Wardrobe,A comfortable metal wardrobe 1.,Metal,Natural Oak,10,682,279x110x155,China,"1 sections, with mirror",18
ou7zyM,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Silver,5,534,220x142x159,Sweden,with armrests,27
DuRZsY,Table,Sturdy Table,An elegant plastic table not extendable.,Plastic,Silver,2,130,108x47x155,Poland,"rectangular, extendable",70
fK5IS9,Wardrobe,Smart Wardrobe,A luxurious wood wardrobe 1.,Wood,Beige,5,442,75x34x195,USA,"1 sections, without mirror",71
Frk83r,Sofa,Comfy Sofa,An ergonomic wood sofa 3.,Wood,Silver,5,55,182x36x199,China,"3 seats, with recliner",48
VaqBIP,Chair,Chic Chair,A luxurious metal chair with armrests.,Metal,Charcoal Gray,10,476,155x48x57,Poland,with armrests,6
JzSdi4,Chair,Buddy Chair,A sturdy metal chair with armrests.,Metal,Beige,10,748,175x119x180,Italy,with armrests,37
SmXpWO,Sofa,Relax Sofa,A compact fabric sofa with recliner.,Fabric,Beige,1,403,230x62x149,China,"1 seats, with recliner",90
cFLnyN,Bed,Dreamy Bed,A compact fabric bed with storage.,Fabric,Beige,1,198,222x86x50,Italy,"double, with storage",14
QXRFbz,Wardrobe,Chic Wardrobe,An elegant wood wardrobe without mirror.,Wood,Natural Oak,5,322,136x39x86,China,"1 sections, with mirror",87
rIhWFJ,Chair,Snug Chair,A compact glass chair with armrests.,Glass,Jet Black,3,824,273x31x62,Germany,without armrests,27
eER0rP,Wardrobe,Smart Wardrobe,An ergonomic fabric wardrobe without mirror.,Fabric,Jet Black,1,240,264x58x143,Germany,"1 sections, with mirror",8
6BGq98,Bed,Dreamy Bed,An elegant wood bed king.,Wood,Ivory White,5,97,233x59x120,Italy,"queen, without storage",3
LCBlW0,Wardrobe,Smart Wardrobe,An elegant metal wardrobe 2.,Metal,Ivory White,10,235,298x39x112,China,"2 sections, with mirror",30
rayJum,Chair,Zippy Chair,A comfortable metal chair without armrests.,Metal,Silver,10,546,246x133x147,China,without armrests,10
wr7tiP,Table,Elegant Table,An elegant fabric table rectangular.,Fabric,Walnut Brown,1,96,91x85x185,China,"circular, extendable",82
UWVhnh,Sofa,Relax Sofa,A luxurious plastic sofa without recliner.,Plastic,Walnut Brown,2,113,173x106x184,Italy,"3 seats, with recliner",5
E8LxPF,Bed,Dreamy Bed,An elegant wood bed king.,Wood,Jet Black,5,116,265x62x182,Germany,"single, without storage",30
ibSOjo,Chair,Zippy Chair,A luxurious wood chair without armrests.,Wood,Walnut Brown,5,377,174x60x51,Italy,with armrests,24
pKD5D0,Wardrobe,Sturdy Wardrobe,An ergonomic wood wardrobe without mirror.,Wood,Walnut Brown,5,415,180x88x50,Germany,"2 sections, without mirror",20
38cHXN,Bed,Dreamy Bed,A comfortable glass bed without storage.,Glass,Natural Oak,3,356,241x70x173,Poland,"single, without storage",23
n0AxcM,Sofa,Snug Sofa,A sturdy metal sofa 1.,Metal,Ivory White,10,295,171x119x42,Italy,"2 seats, without recliner",40
fWYPc8,Wardrobe,Zippy Wardrobe,An elegant wood wardrobe with mirror.,Wood,Walnut Brown,5,452,286x114x119,Poland,"2 sections, with mirror",51
0k9LpI,Chair,Buddy Chair,A sturdy glass chair without armrests.,Glass,Jet Black,3,446,179x138x50,USA,without armrests,26
pRhnGn,Table,Cosy Table,A sturdy glass table extendable.,Glass,Silver,3,720,158x103x123,Germany,"rectangular, extendable",27
7P07Sc,Bed,Snug Bed,A compact plastic bed single.,Plastic,Jet Black,2,47,126x45x189,USA,"double, with storage",97
1ojYgP,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Beige,5,56,167x39x54,Sweden,without armrests,86
VzPWmu,Sofa,Snug Sofa,A luxurious glass sofa without recliner.,Glass,Walnut Brown,3,533,191x138x180,USA,"2 seats, with recliner",26
2jQ7eI,Chair,Chic Chair,A comfortable plastic chair without armrests.,Plastic,Jet Black,2,142,71x70x41,Sweden,with armrests,12
NxJ7Rv,Sofa,Cozy Sofa,A luxurious metal sofa with recliner.,Metal,Jet Black,10,338,286x77x161,Germany,"1 seats, without recliner",97
ZYFpEu,Wardrobe,Zippy Wardrobe,An elegant wood wardrobe with mirror.,Wood,Beige,5,260,94x122x53,USA,"1 sections, without mirror",9
kq9lvP,Bed,Snug Bed,A sturdy fabric bed double.,Fabric,Charcoal Gray,1,239,208x112x77,Poland,"double, without storage",58
aEqo1V,Bed,Dreamy Bed,A comfortable glass bed without storage.,Glass,Beige,3,377,224x107x104,USA,"double, without storage",59
fVvVkb,Bed,Cozy Bed,A compact metal bed without storage.,Metal,Silver,10,368,58x138x187,Poland,"queen, without storage",37
TAT1zL,Table,Sturdy Table,A sturdy glass table extendable.,Glass,Walnut Brown,3,289,236x142x53,Sweden,"circular, not extendable",20
DFXbc7,Wardrobe,Sturdy Wardrobe,An ergonomic metal wardrobe 1.,Metal,Ivory White,10,130,176x31x119,Germany,"1 sections, without mirror",11
UztylD,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Natural Oak,5,90,156x120x85,USA,with armrests,24
84wd4d,Table,Chic Table,A compact fabric table extendable.,Fabric,Beige,1,221,261x71x87,China,"circular, extendable",71
tLjK1q,Wardrobe,Zippy Wardrobe,A comfortable metal wardrobe 1.,Metal,Charcoal Gray,10,416,195x80x192,Italy,"1 sections, with mirror",37
8zazgw,Chair,Snug Chair,A modern metal chair without armrests.,Metal,Jet Black,10,200,292x88x169,China,without armrests,89
Egpuw8,Sofa,Relax Sofa,An ergonomic glass sofa 2.,Glass,Ivory White,3,619,229x48x119,USA,"2 seats, with recliner",55
9tR12d,Wardrobe,Smart Wardrobe,An ergonomic fabric wardrobe without mirror.,Fabric,Jet Black,1,336,119x63x82,China,"2 sections, with mirror",21
8ztqzz,Bed,Cozy Bed,A compact plastic bed queen.,Plastic,Silver,2,44,279x35x40,China,"queen, without storage",18
taHa0d,Wardrobe,Sturdy Wardrobe,An ergonomic wood wardrobe without mirror.,Wood,Walnut Brown,5,200,172x37x48,China,"1 sections, without mirror",28
ZAPPSg,Chair,Chic Chair,A sturdy wood chair with armrests.,Wood,Natural Oak,5,175,294x50x117,Germany,without armrests,24
Xc9nYA,Wardrobe,Compact Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Ivory White,1,81,254x42x83,Germany,"1 sections, without mirror",38
86TURh,Chair,Buddy Chair,A modern fabric chair with armrests.,Fabric,Natural Oak,1,279,243x50x142,China,with armrests,81
UTqM6u,Sofa,Lush Sofa,A comfortable metal sofa without recliner.,Metal,Silver,10,403,84x146x81,Sweden,"3 seats, without recliner",23
HD3ZC2,Wardrobe,Sturdy Wardrobe,An ergonomic wood wardrobe without mirror.,Wood,Beige,5,72,56x77x188,Germany,"2 sections, with mirror",25
W630xZ,Sofa,Snug Sofa,A sturdy plastic sofa with recliner.,Plastic,Silver,2,42,267x53x195,Italy,"2 seats, without recliner",98
OKs2SR,Wardrobe,Compact Wardrobe,A comfortable glass wardrobe 1.,Glass,Natural Oak,3,203,68x73x109,USA,"2 sections, with mirror",75
J3ymAl,Bed,Lush Bed,A compact plastic bed double.,Plastic,Jet Black,2,105,283x30x125,Sweden,"king, without storage",35
ahxyc3,Bed,Lush Bed,A compact plastic bed double.,Plastic,Ivory White,2,54,267x140x142,China,"king, without storage",45
6N93Fa,Bed,Snug Bed,A sturdy fabric bed double.,Fabric,Beige,1,282,107x107x119,Sweden,"single, with storage",20
jE0qWs,Bed,Lush Bed,An ergonomic fabric bed queen.,Fabric,Walnut Brown,1,100,168x139x54,USA,"queen, with storage",29
